date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24097,24084,13,24095,2,0,24084,13
2020-12-28,17998,17836,162,42093,2,0,41920,175
2020-12-29,50020,49286,734,92112,2,1,91206,909
2020-12-30,63492,63354,138,155604,2,1,154560,1047
2020-12-31,49692,49603,89,205296,2,1,204163,1136
2021-01-01,25351,25342,9,230639,7,4,229505,1145
2021-01-02,47949,47663,286,278588,7,4,277168,1431
2021-01-03,22410,22405,5,300997,8,4,299573,1436
2021-01-04,45826,45730,96,346822,9,4,345303,1532
2021-01-05,51970,51633,337,398791,10,4,396936,1869
2021-01-06,62458,62366,92,461240,16,7,459302,1961
2021-01-07,53962,53941,21,515197,19,9,513243,1982
2021-01-08,61657,61549,108,576802,70,10,574792,2090
2021-01-09,59970,59822,148,636768,73,11,634614,2238
2021-01-10,35252,35103,149,672012,81,11,669717,2387
2021-01-11,67500,67398,102,739497,94,13,737115,2489
2021-01-12,78269,78205,64,817750,109,14,815320,2553
2021-01-13,110939,110738,201,927520,1278,14,926058,2754
2021-01-14,83328,83106,222,1005699,6427,14,1009164,2976
2021-01-15,90623,89778,845,1091051,11693,19,1098942,3821
2021-01-16,57358,56337,1021,1146729,13372,20,1155279,4842
2021-01-17,47581,29787,17794,1193047,14633,21,1185067,22636
2021-01-18,81908,66168,15740,1270812,18775,22,1251235,38376
2021-01-19,118802,82356,36446,1385945,22436,30,1333591,74822
2021-01-20,132384,77816,54568,1515584,25178,33,1411407,129390
2021-01-21,104978,63667,41311,1617821,27918,34,1475074,170701
2021-01-22,101627,68053,33574,1717254,30104,42,1543127,204275
2021-01-23,86578,40463,46115,1803475,30458,45,1583590,250390
2021-01-24,47297,25463,21834,1850570,30656,49,1609053,272224
2021-01-25,91043,52277,38766,1940194,32072,52,1661330,310990
2021-01-26,97537,50633,46904,2036290,33506,59,1711963,357894
2021-01-27,109360,50821,58539,2143855,35292,67,1762785,416433
2021-01-28,92450,46573,45877,2234674,36920,70,1809358,462310
2021-01-29,107767,49988,57779,2340954,38400,77,1859346,520089
2021-01-30,88008,34361,53647,2428080,39280,79,1893707,573736
2021-01-31,56866,25753,31113,2484565,39656,84,1919460,604849
2021-02-01,119525,57963,61562,2601831,41864,135,1977423,666411
2021-02-02,132175,64965,67210,2730931,44926,148,2042388,733621
2021-02-03,161931,64082,97849,2886507,51254,174,2106471,831470
2021-02-04,133869,61729,72140,3014539,57086,179,2168200,903610
2021-02-05,146764,68904,77860,3154846,63535,187,2237104,981470
2021-02-06,93717,45403,48314,3245936,66161,188,2282507,1029784
