date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-02-06,1612656004,0,0,0,1612483200,1612483200
2021-02-07,1612745140,57,381,37,1612666320,1612701180
2021-02-08,1612861615,23,199,1,1612751040,1612766760
2021-02-09,1612947690,54,328,24,1612832760,1612858620
2021-02-10,1613032367,47,294,3,1612923960,1612946580
2021-02-11,1613091192,52,279,55,1613009340,1613041620
2021-02-12,1613214754,72,342,16,1613095320,1613125260
2021-02-13,1613298653,69,377,26,1613181420,1613214060
2021-02-14,1613347205,48,292,24,1613269860,1613298420
2021-02-15,1613467579,53,343,9,1613353440,1613379660
2021-02-16,1613529687,35,273,15,1613443680,1613465760
2021-02-17,1613610092,37,213,5,1613531400,1613549760
2021-02-18,1613738045,78,274,5,1613615880,1613639220
2021-02-19,1613824367,55,318,30,1613706480,1613735700
2021-02-20,1613907142,39,284,0,1613801460,1613823360
2021-02-21,1614046365,62,298,18,1613878080,1613903520
2021-02-22,1614046365,46,303,7,1613965140,1613990340
2021-02-23,1614129229,82,413,9,1614048480,1614081600
2021-02-24,1614212116,50,254,8,1614134280,1614156360
2021-02-25,1614328604,40,223,45,1614224280,1614247140
2021-02-26,1614405778,44,187,0,1614311640,1614328020
2021-02-27,1614473363,63,223,0,1614380220,1614404340
2021-02-28,1614676866,81,329,10,1614490980,1614519480
2021-03-01,1614676866,29,232,4,1614571020,1614588240
2021-03-02,1614866947,44,209,0,1614656940,1614673920
2021-03-03,1614866947,53,196,0,1614743940,1614761760
2021-03-04,1615029689,0,0,0,1614729600,1614729600
2021-03-05,1615029689,11,57,0,1614904380,1614910020
2021-03-06,1615230964,34,224,4,1615010580,1615027860
2021-03-07,1615230964,117,345,2,1615097640,1615130520
2021-03-08,1615300284,4,25,0,1615156440,1615158180
2021-03-09,1615655886,47,154,6,1615267620,1615281780
2021-03-10,1615655886,43,249,15,1615350420,1615372800
2021-03-11,1615655886,35,107,0,1615442220,1615453680
2021-03-12,1615655885,57,201,8,1615524600,1615542480
2021-03-13,1615799160,117,303,33,1615609860,1615643460
2021-03-14,1615799160,56,278,0,1615695240,1615717800
2021-03-15,1615972761,63,292,75,1615779060,1615811100
2021-03-16,1615972760,30,225,14,1615866780,1615885200
2021-03-17,1616058760,68,241,25,1615949700,1615972440
2021-03-18,1616140346,77,252,0,1616036520,1616058540
2021-03-19,1616283697,25,138,121,1616114640,1616137860
2021-03-20,1616330262,62,336,8,1616212380,1616242140
2021-03-21,1616418400,78,369,2,1616298540,1616329320
2021-03-22,1616503269,48,328,9,1616385480,1616413680
2021-03-23,1616578927,32,167,28,1616472720,1616488380
2021-03-24,1616677194,46,168,4,1616560920,1616575980
2021-03-25,1616936641,44,188,4,1616645160,1616662140
2021-03-26,1616936641,9,248,220,1616719740,1616759460
2021-03-27,1616936641,62,251,0,1616827620,1616850360
2021-03-28,1617240425,62,422,9,1616908140,1616940000
2021-03-29,1617240425,25,232,34,1616992020,1617012840
2021-03-30,1617240424,49,149,0,1617077940,1617091680
2021-03-31,1617240424,22,204,0,1617162780,1617178080
2021-04-01,1617358078,3,186,226,1617228540,1617262980
2021-04-02,1617557432,61,289,40,1617339360,1617368700
2021-04-03,1617557432,0,0,0,1617318000,1617318000
2021-04-04,1617852811,105,312,0,1617510600,1617541320
2021-04-05,1617852811,63,339,24,1617599280,1617628680
2021-04-06,1617852811,46,216,0,1617677820,1617695520
2021-04-07,1617852811,68,223,389,1617736920,1617781080
2021-04-08,1617955497,58,358,439,1617825900,1617883260
2021-04-09,1618341750,39,229,6,1617937680,1617955320
2021-04-10,1618341750,47,223,16,1618030140,1618050480
2021-04-11,1618341750,46,270,359,1618093440,1618138140
2021-04-12,1618341750,52,193,1,1618198560,1618214520
2021-04-13,1618621940,23,180,0,1618286820,1618300620
2021-04-14,1618621940,0,0,0,1618268400,1618268400
2021-04-15,1618621939,29,230,10,1618460760,1618480440
2021-04-16,1618621939,28,128,11,1618552560,1618563000
2021-04-17,1619386095,56,235,0,1618637160,1618657020
2021-04-18,1619386096,73,362,0,1618716420,1618745880
2021-04-19,1619386096,34,195,0,1618804680,1618819560
2021-04-20,1619386096,69,266,6,1618889100,1618912800
2021-04-21,1619386096,83,360,41,1618968720,1619003280
2021-04-22,1619386095,0,0,0,1618959600,1618959600
2021-04-23,1619386095,18,66,0,1619159340,1619164740
2021-04-24,1619386095,73,295,4,1619236560,1619261580
2021-04-25,1619778565,59,229,5,1619319120,1619340600
2021-04-26,1619778565,103,312,45,1619404740,1619438460
2021-04-27,1619778565,82,152,58,1619479620,1619503560
2021-04-29,1619778566,0,0,0,1619564400,1619564400
2021-04-30,1620043281,23,245,115,1619752860,1619785440
2021-05-01,1620043281,94,307,1,1619835840,1619862900
2021-05-02,1620043281,54,356,0,1619919180,1619946420
2021-05-03,1620520171,78,332,42,1620009900,1620041880
2021-05-04,1620520171,51,226,0,1620095220,1620114300
2021-05-05,1620520171,46,299,4,1620177600,1620201960
2021-05-06,1620520171,1,128,0,1620276720,1620288180
2021-05-07,1620520171,97,362,13,1620353280,1620385620
2021-05-08,1620520171,0,0,0,1620342000,1620342000
2021-05-09,1621694319,106,318,19,1620530820,1620559500
2021-05-10,1621694320,27,342,1,1620610500,1620634080
2021-05-11,1621694320,137,361,284,1620676080,1620729060
2021-05-12,1621694320,50,331,8,1620789900,1620815160
2021-05-13,1621694320,67,325,6,1620873600,1620901920
2021-05-14,1621694321,61,223,12,1620961980,1620981480
2021-05-15,1621694321,30,174,2,1621052040,1621068120
2021-05-16,1621694321,71,434,0,1621130340,1621162440
2021-05-17,1621694321,46,336,16,1621219920,1621246980
2021-05-18,1621694321,66,203,15,1621306020,1621325460
2021-05-19,1621694319,70,195,101,1621393680,1621423440
2021-05-20,1621694320,0,0,0,1621378800,1621378800
