,tea_name,tea_origin,tea_star,tea_price,tea_availability,tea_link
0,"Hachimanjyu: Naturally Grown ""Hisoka"", Spring First Flush Green Tea (Yutaka Midori)",Hachimanjyu Yakushima Tea, 10 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/hachimanjyu-naturally-grown-hisoka-spring-first-flush-green-tea-yutaka-midori
1,Kurihara Tea #01: Takumi 匠 (The Artisan) - Kurihara Heritage Gyokuro Green Tea,Kurihara Tea Farm, 11 ,"From JPY ¥1,000",Available,https://yunomi.life//collections/green-tea/products/kurihara-tea-01-kurihara-heritage-gyokuro-green-tea
2,"Nakamura-en #01: Gyokuro Mecha, The Discovery 玉露芽茶",Nakamura-en, 36 ,From JPY ¥600,"In stock, 13 units",https://yunomi.life//collections/green-tea/products/nakamura-en-01-gyokuro-mecha-the-discovery
3,"Yunomi Matcha: Uji no Aji - Kiyomizu, Standard Ceremonial Grade (30g)",Yunomi Tea, 19 ,"From JPY ¥1,999",Available,https://yunomi.life//collections/green-tea/products/yunomi-matcha-uji-no-aji-kiyomizu-standard-ceremonial-grade-30g
4,Kurihara Tea #03: Shin 心 (Heart) - Premium Gyokuro Green Tea,Kurihara Tea Farm, 12 ,From JPY ¥999,Available,https://yunomi.life//collections/green-tea/products/kurihara-tea-03-premium-gyokuro-green-tea
5,"NaturaliTea #19: Mountain-grown Fukamushi Sencha, Yabukita 有機一番摘み煎茶　山の深蒸し　やぶきたみどり",NaturaliTea, 12 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/naturalitea-19-mountain-grown-fukamushi-sencha-yabukita
6,"Yunomi Matcha: Uji no Aji - Kibune, Imperial Ceremonial Grade (30g)",Yunomi Tea, 14 ,"From JPY ¥2,999",Available,https://yunomi.life//collections/green-tea/products/yunomi-matcha-uji-matcha-imperial-ceremonial-grade
7,Yunomi Matcha Naturally Grown - Premium Ceremonial Grade,Yunomi Tea, 16 ,"JPY ¥1,999",Available,https://yunomi.life//collections/green-tea/products/yunomi-matcha-naturally-grown-premium-ceremonial-grade
8,ON SALE! Yunomi House Blend Green Tea 100g - YUG01,Yunomi Tea, 16 ,From JPY ¥699,Available,https://yunomi.life//collections/green-tea/products/yunomi-house-blend-green-tea
9,Kurihara Tea #04: Mountain-Grown Yamecha Kabusecha Green Tea かぶせ茶,Kurihara Tea Farm, 11 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/kurihara-tea-04-kabusecha-green-tea
10,Obubu #12: Hojicha (Dark Roast),Kyoto Obubu Tea Farms, 7 ,From JPY ¥975,Available,https://yunomi.life//collections/green-tea/products/obubu-12-hojicha-dark-roast
11,Kurihara Tea #09: Superior Sencha Hime Kaori 媛かおり,Kurihara Tea Farm, 7 ,From JPY ¥400,Available,https://yunomi.life//collections/green-tea/products/kurihara-tea-09-superior-sencha-hime-kaori
12,Hachimanjyu: Organic Yakushima Premium Spring Sencha Green Tea (Yabukita & Asatsuyu) 屋久島茶  有機緑茶,Hachimanjyu Yakushima Tea, 9 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/hachimanjyu-organic-yakushima-premium-sencha-green-tea-spring-yabukita-asatsuyu
